date,devicename,Soil EC,Soil Moisture,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Temperature,Soil pH,NPK Ratio,N Category,P Category,K Category,NPK Level,NPK Done
2025-05-28,NP002,1798.0,61.0,336.0,824.0,822.0,29.9,5.0,1.0 : 2.5 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK
2025-05-27,NP002,1840.0,59.4,345.0,844.0,843.0,30.3,5.1,1.0 : 2.4 : 2.4,Optimal,Optimal,Optimal,Invalid,Optimal NPK
2025-05-26,NP002,1059.0,27.4,182.0,467.0,463.0,28.3,4.9,1.0 : 2.6 : 2.5,High,High,High,Invalid,Not Done Composting
2025-05-25,NP002,997.0,26.6,169.0,438.0,433.0,28.3,4.9,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting
2025-05-24,NP002,938.0,25.5,157.0,409.0,404.0,28.2,5.0,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting
2025-05-23,NP002,883.0,24.3,145.0,383.0,378.0,28.0,4.9,1.0 : 2.6 : 2.6,High,High,High,Invalid,Not Done Composting
2025-05-22,NP002,827.0,23.9,134.0,356.0,350.0,28.0,4.8,1.0 : 2.7 : 2.6,High,High,High,Invalid,Not Done Composting
2025-05-21,NP002,779.0,23.3,124.0,332.0,327.0,27.8,4.9,1.0 : 2.7 : 2.6,High,High,High,Invalid,Not Done Composting
2025-05-20,NP002,613.0,22.1,89.0,252.0,246.0,27.4,4.8,1.0 : 2.8 : 2.8,Low,Low,Low,Invalid,Not Done Composting
2025-05-19,NP002,515.0,21.5,69.0,205.0,199.0,27.1,6.3,1.0 : 3.0 : 2.9,Low,Low,Low,Invalid,Not Done Composting
2025-05-18,NP002,485.0,20.9,62.0,191.0,184.0,28.2,6.4,1.0 : 3.1 : 3.0,Low,Low,Low,Invalid,Not Done Composting
2025-05-17,NP002,451.0,21.3,55.0,174.0,168.0,28.1,6.4,1.0 : 3.2 : 3.1,Low,Low,Low,Invalid,Not Done Composting
2025-05-16,NP002,384.0,21.3,41.0,142.0,135.0,27.2,6.7,1.0 : 3.5 : 3.3,Low,Low,Low,Invalid,Not Done Composting
2025-05-15,NP002,285.0,19.9,21.0,94.0,87.0,27.3,7.0,1.0 : 4.5 : 4.1,Low,Low,Low,Invalid,Not Done Composting
2025-05-14,NP002,202.0,19.3,3.0,54.0,46.0,27.0,3.8,1.0 : 18.0 : 15.3,Low,Low,Low,Invalid,Not Done Composting
